"","date","country","activity","year","flu_activity_mean"
"368","2003-03-23","Poland",0,"2003",0
"369","2003-03-23","Romania",821,"2003",630.173076923077
"370","2003-03-23","Russia",0,"2003",0
"371","2003-03-23","South.Africa",0,"2003",0
"372","2003-03-23","Spain",0,"2003",20.8269230769231
"373","2003-03-23","Sweden",0,"2003",0
"374","2003-03-23","Switzerland",0,"2003",23.5
"375","2003-03-23","Ukraine",0,"2003",0
"376","2003-03-23","United.States",0,"2003",831.365384615385
"377","2003-03-23","Uruguay",102,"2003",123.942307692308
"378","2003-03-30","Argentina",158,"2003",179.846153846154
"379","2003-03-30","Australia",0,"2003",0
"380","2003-03-30","Austria",0,"2003",195.730769230769
"381","2003-03-30","Belgium",0,"2003",68.9038461538462
"382","2003-03-30","Bolivia",647,"2003",433.903846153846
"383","2003-03-30","Brazil",262,"2003",238.192307692308
"384","2003-03-30","Bulgaria",0,"2003",0
"385","2003-03-30","Canada",0,"2003",899.692307692308
"386","2003-03-30","Chile",2,"2003",1.65384615384615
"387","2003-03-30","France",0,"2003",84.4230769230769
"388","2003-03-30","Germany",0,"2003",298.211538461538
"389","2003-03-30","Hungary",0,"2003",0
"390","2003-03-30","Japan",0,"2003",8.80769230769231
"391","2003-03-30","Mexico",0,"2003",254.480769230769
"392","2003-03-30","Netherlands",0,"2003",15.1153846153846
"393","2003-03-30","New.Zealand",0,"2003",0
"394","2003-03-30","Norway",0,"2003",0
"395","2003-03-30","Paraguay",0,"2003",0
"396","2003-03-30","Peru",301,"2003",393.096153846154
"397","2003-03-30","Poland",0,"2003",0
"398","2003-03-30","Romania",753,"2003",630.173076923077
"399","2003-03-30","Russia",0,"2003",0
"400","2003-03-30","South.Africa",0,"2003",0
"401","2003-03-30","Spain",0,"2003",20.8269230769231
"402","2003-03-30","Sweden",0,"2003",0
"403","2003-03-30","Switzerland",0,"2003",23.5
"404","2003-03-30","Ukraine",0,"2003",0
"405","2003-03-30","United.States",0,"2003",831.365384615385
"406","2003-03-30","Uruguay",104,"2003",123.942307692308
"407","2003-04-06","Argentina",187,"2003",179.846153846154
"408","2003-04-06","Australia",0,"2003",0
"409","2003-04-06","Austria",0,"2003",195.730769230769
"410","2003-04-06","Belgium",0,"2003",68.9038461538462
"411","2003-04-06","Bolivia",636,"2003",433.903846153846
"412","2003-04-06","Brazil",308,"2003",238.192307692308
"413","2003-04-06","Bulgaria",0,"2003",0
"414","2003-04-06","Canada",0,"2003",899.692307692308
"415","2003-04-06","Chile",1,"2003",1.65384615384615
"416","2003-04-06","France",0,"2003",84.4230769230769
"417","2003-04-06","Germany",0,"2003",298.211538461538
